scenario_id,facet,level,answer_set,count,share
1,дружелюбие,Низкая,"Ты хочешь какую то ерунду!; Мне кажется, тебя просто используют",14,0.737
1,дружелюбие,Низкая,Ты хочешь какую то ерунду!,3,0.158
1,дружелюбие,Низкая,"Хорошо, помоги",2,0.105
1,дружелюбие,Средняя,"Хорошо, помоги",14,0.737
1,дружелюбие,Средняя,Я восхищен твоим стремлением помогать людям!,2,0.105
1,дружелюбие,Средняя,"Мне кажется, тебя просто используют",1,0.053
1,дружелюбие,Средняя,"Мне кажется, тебя просто используют; Хорошо, помоги",1,0.053
1,дружелюбие,Средняя,"Ты хочешь какую то ерунду!; Мне кажется, тебя просто используют",1,0.053
1,дружелюбие,Высокая,Я восхищен твоим стремлением помогать людям!,12,0.632
1,дружелюбие,Высокая,"Я восхищен твоим стремлением помогать людям!; Хорошо, помоги",4,0.211
1,дружелюбие,Высокая,Ты хочешь какую то ерунду!; Я восхищен твоим стремлением помогать людям!,1,0.053
1,дружелюбие,Высокая,"Ты хочешь какую то ерунду!; Я восхищен твоим стремлением помогать людям!; Хорошо, помоги",1,0.053
1,дружелюбие,Высокая,"Я восхищен твоим стремлением помогать людям!; Мне кажется, тебя просто используют",1,0.053
2,общительность,Низкая,Не стоит тебе идти на эту вечеринку,12,0.632
2,общительность,Низкая,"Можно было бы, но сейчас в приоритете другое; Не стоит тебе идти на эту вечеринку",4,0.211
2,общительность,Низкая,"Можно было бы, но сейчас в приоритете другое",2,0.105
2,общительность,Низкая,"Можно было бы, но сейчас в приоритете другое; Рад; Что ты предложил мне это",1,0.053
2,общительность,Средняя,"Можно было бы, но сейчас в приоритете другое",6,0.316
2,общительность,Средняя,"Можно было бы, но сейчас в приоритете другое; Рад; Что ты предложил мне это",5,0.263
2,общительность,Средняя,Рад; Что ты предложил мне это,3,0.158
2,общительность,Средняя,"Можно было бы, но сейчас в приоритете другое; Конечно, я обожаю вечеринки!; Рад; Что ты предложил мне это",1,0.053
