scenario_id,facet,level,method_option,hit,n,share
1,дружелюбие,Низкая,"Ты хочешь какую то ерунду!; Мне кажется, тебя просто используют",14,19,0.737
1,дружелюбие,Средняя,"Хорошо, помоги",14,19,0.737
1,дружелюбие,Высокая,Я восхищен твоим стремлением помогать людям!,12,19,0.632
2,общительность,Низкая,Не стоит тебе идти на эту вечеринку,12,19,0.632
2,общительность,Средняя,"Можно было бы, но сейчас в приоритете другое",6,19,0.316
2,общительность,Высокая,"Конечно, я обожаю вечеринки!; Рад; Что ты предложил мне это",13,19,0.684
3,настойчивость,Низкая,Рад за тебя; Что ты готов потратить на это время,1,19,0.053
3,настойчивость,Средняя,Спасибо; Что взял это на себя,5,19,0.263
3,настойчивость,Высокая,Я сам хотел сделать ее!,7,19,0.368
4,уровень активности,Низкая,Не стоит тебе идти на эту вечеринку,8,19,0.421
4,уровень активности,Средняя,"Можно было бы, но сейчас в приоритете другое",3,19,0.158
4,уровень активности,Высокая,"Конечно, я обожаю вечеринки!; Рад; Что ты предложил мне это",8,19,0.421
5,поиск острых ощущений,Низкая,Это не очень хорошая идея кататься на нем,5,19,0.263
5,поиск острых ощущений,Средняя,Рад за тебя; Что ты смог его отыскать!,7,19,0.368
5,поиск острых ощущений,Высокая,"Это просто прекрасно!; Здорово; Что мы сходимся во мнении по поводу лучшего вида аттракционов; Кажется, ты не подходишь под ограничения для него",1,19,0.053
6,жизнерадостность,Низкая,"Всё утекает, как дождевая вода.; Как неприятно, на улице стало неуютно.",6,19,0.316
6,жизнерадостность,Средняя,"Мне жаль, что ты застал его",5,19,0.263
6,жизнерадостность,Высокая,"Сейчас бы пойти погулять под дождём, внести нотку новизны!; Здорово, что тебе удалось увидеть его",10,19,0.526
7,доверчивость,Низкая,Ты хочешь использовать ее против меня?; Глупая просьба! Зачем она тебе?,15,19,0.789
7,доверчивость,Средняя,Хорошо; Что она у меня есть,10,19,0.526
7,доверчивость,Высокая,Конечно! Рад; Что спросил!,11,19,0.579
8,моральность,Низкая,Жаль; Что ради этого тебе пришлось меньше спать; Классно; Что ты отдаешь всего себя людям,2,19,0.105
8,моральность,Средняя,Это радостная новость,5,19,0.263
8,моральность,Высокая,Я так рад! Теперь ты можешь купить себе все что хочешь,5,19,0.263
9,альтруизм,Низкая,Тебе уже ничего не поможет,17,19,0.895
9,альтруизм,Средняя,Я помогаю людям,14,19,0.737
9,альтруизм,Высокая,Рад; Что ты обратился ко мне за помощью,14,19,0.737
10,сотрудничество,Низкая,Я восхищен твоей усердностью!; Рад за тебя; Что ты готов потратить на это время,1,19,0.053
10,сотрудничество,Средняя,Спасибо; Что взял это на себя,5,19,0.263
10,сотрудничество,Высокая,Это моя задача и я сам хотел сделать ее!,1,19,0.053
11,скромность,Низкая,"Да, я всегда был и буду чертовски крут!",15,19,0.789
11,скромность,Средняя,Меня радуют твои слова,4,19,0.211
11,скромность,Высокая,"Нет, это ты большой молодец!; Рад вызвать у тебя радостные эмоции",5,19,0.263
12,сочувствие,Низкая,Ну ты хотя бы набрался опыта,13,19,0.684
12,сочувствие,Средняя,Я рад; Что ты делишься со мной этим,10,19,0.526
12,сочувствие,Высокая,Мне очень жаль; Что ничего не вышло,11,19,0.579
13,самоэффективность,Низкая,Я не контроллирую ситуацию!,5,19,0.263
13,самоэффективность,Средняя,Мне просто никто не помогает в этом,7,19,0.368
13,самоэффективность,Высокая,"Не пытайся мне насолить, я справлюсь; Не говори глупости!",4,19,0.211
14,аккуратность,Низкая,Спасибо тебе; Что прибрался у меня!; Спасибо; Что делаешь хорошо людям!,4,19,0.211
14,аккуратность,Средняя,Это место не очень удобное для уборки,4,19,0.211
14,аккуратность,Высокая,"Да, это стоило всех приложенных мной усилий на уборку",9,19,0.474
15,исполнительность,Низкая,Ничего не выйдет,11,19,0.579
15,исполнительность,Средняя,Спасибо за ценную возможность! Я вас не подведу,5,19,0.263
15,исполнительность,Высокая,Спасибо за ценную возможность! Я вас не подведу,18,19,0.947
16,стремление к достижениям,Низкая,"Вы хотите, чтобы я опозорился там?; Вы ошибаетесь в выборе кандидата для такого мероприятия",7,19,0.368
16,стремление к достижениям,Средняя,На меня будут смотреть люди,8,19,0.421
16,стремление к достижениям,Высокая,Прекрасная идея!; Я восхищен вашим предложением!,14,19,0.737
17,самодисциплина,Низкая,У меня не получится,13,19,0.684
17,самодисциплина,Средняя,Другие задачи не дадут мне заняться вашей,15,19,0.789
17,самодисциплина,Высокая,Конечно! Сделаю все сегодня!,17,19,0.895
18,осторожности,Низкая,"Что ж, меньше народу больше кислороду; Теперь она стала плохо пахнуть",10,19,0.526
18,осторожности,Средняя,Она умерла,10,19,0.526
18,осторожности,Высокая,"Мне очень жаль, я понимаю твое горе, держись",16,19,0.842
19,тревожности,Низкая,Я проведу время в хорошей компании,9,19,0.474
19,тревожности,Средняя,Я проведу время в необычной компании,8,19,0.421
19,тревожности,Высокая,О это будет ужасно!; Я не буду там никому нужен; Мне страшно,7,19,0.368
20,гневность,Низкая,"Спасибо, что сообщил",13,19,0.684
20,гневность,Средняя,Ты принес мне фигню,4,19,0.211
20,гневность,Высокая,"Ты только и делаешь что приносишь плохие новости!; Если это шутка, то она невероятно глупая и неуместная!",4,19,0.211
21,подавленность,Низкая,"Сейчас бы пойти погулять под дождём, внести нотку новизны!; Здорово, что тебе удалось увидеть его",9,19,0.474
21,подавленность,Средняя,"Мне жаль, что ты застал его",4,19,0.211
21,подавленность,Высокая,"Всё утекает, как дождевая вода.; Как неприятно, на улице стало неуютно.",4,19,0.211
22,чувствительность к оценке,Низкая,Прекрасная идея!; Я восхищен вашим предложением!,11,19,0.579
22,чувствительность к оценке,Средняя,На меня будут смотреть люди,5,19,0.263
22,чувствительность к оценке,Высокая,"На меня будут смотреть люди; Вы хотите, чтобы я опозорился там?; Вы ошибаетесь в выборе кандидата для такого мероприятия; Я растеряюсь, и не смогу удержать внимание публики",1,19,0.053
23,неумеренность,Низкая,Хороший торт!,12,19,0.632
23,неумеренность,Средняя,Маловат торт для сюрприза,10,19,0.526
23,неумеренность,Высокая,Нужно было делать торт побольше!; Маловат торт для сюрприза,3,19,0.158
24,уязвимость,Низкая,"Мне хотя бы никто не сует палки в колеса; Спасибо, что помог мне осознать это",3,19,0.158
24,уязвимость,Средняя,Мне хотя бы никто не сует палки в колеса,4,19,0.211
24,уязвимость,Высокая,У меня ничего не получается!; Это не в моей власти!; Мне не дадут даже возможности защититься!,6,19,0.316
25,воображение,Низкая,"Рад за то, что ты остаешься объективным!",15,19,0.789
25,воображение,Средняя,"Рад за то, что ты остаешься объективным!",7,19,0.368
25,воображение,Высокая,В некоторых ситуациях фантазия выигрывает у фактов,13,19,0.684
26,художенственные интересы,Низкая,Ты хочешь купить какую то ерунду!; Ты хочешь купить ценную вещь,1,19,0.053
26,художенственные интересы,Средняя,Я очень рад твоему приобритению!,6,19,0.316
26,художенственные интересы,Высокая,Я восхищен твоим выбором! Она прекрасна!; Я очень рад твоему приобритению!,9,19,0.474
27,эмоциональность,Низкая,Ты говоришь ерунду какую то; Ты обманываешь,6,19,0.316
27,эмоциональность,Средняя,Я восхищен твоей осознанностью твоих чувств!,4,19,0.211
27,эмоциональность,Высокая,Я восхищен твоей осознанностью твоих чувств!,16,19,0.842
28,авантюризм,Низкая,Ты собираешься сделать какую то ерунду!; Ты замышляешь что то плохое,9,19,0.474
28,авантюризм,Средняя,"Радует то, что ты достигнешь своего дома в любом случае",8,19,0.421
28,авантюризм,Высокая,Потрясяющая идея!; Здорово! Ты откроешь для себя новый путь домой!,12,19,0.632
29,интеллектуальная любознательность,Низкая,Ты хочешь заняться какой то ерундой,16,19,0.842
29,интеллектуальная любознательность,Средняя,Я помогу ее тебе решить,12,19,0.632
29,интеллектуальная любознательность,Высокая,Я помогу ее тебе решить,18,19,0.947
30,либерализм,Низкая,Ты хочешь заниматься какой то ерундой!,13,19,0.684
30,либерализм,Средняя,"Рад за то, что ты нашел свое место!",6,19,0.316
30,либерализм,Высокая,"Рад за то, что ты нашел свое место!; Вау! Ты собираешься выступить против такого сильного врага!; Восхищает твое желание работать для важной цели!",4,19,0.211
